id,education,marital_status,income,recency,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,response,complain,country,age,spending,dependents,year_customer,total_purchases,total_campaigns_acc
10968,Graduation,single,57731.0,0,266,21,300,65,8,44,4,8,8,6,6,0,0,0,0,0,0,0,IND,54,704,1,2012,26,0.0
5985,Master,single,33168.0,0,80,1,37,0,1,3,3,2,1,4,7,0,0,0,0,0,0,0,SP,58,122,1,2012,10,0.0
5430,Graduation,couple,54450.0,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,67,684,2,2012,31,0.0
8432,Graduation,couple,54450.0,0,454,0,171,8,19,32,12,9,2,8,8,0,0,0,0,0,0,0,SP,67,684,2,2012,31,0.0
453,PhD,single,35340.0,1,27,0,12,0,1,5,2,2,0,3,5,0,0,0,0,0,0,0,SP,67,45,2,2014,7,0.0
9687,Graduation,single,73170.0,1,184,174,256,50,30,32,1,5,4,6,2,0,0,0,0,0,0,0,CA,48,726,0,2014,16,0.0
8890,PhD,single,65808.0,1,155,7,80,13,7,10,3,5,1,5,6,0,0,0,0,0,0,0,SP,52,272,2,2014,14,0.0
9264,Graduation,couple,79529.0,1,423,42,706,73,197,197,1,4,8,9,2,0,0,0,0,0,0,0,CA,37,1638,0,2014,22,0.0
5824,PhD,couple,34578.0,1,7,0,1,0,0,0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,51,8,3,2014,4,0.0
5794,PhD,couple,46374.0,1,408,0,21,0,0,17,3,7,1,7,8,0,0,0,1,0,1,0,IND,49,446,1,2014,18,101.0
3068,Graduation,couple,18351.0,1,1,12,9,0,14,7,1,2,0,3,7,0,0,0,0,0,0,0,SP,33,43,0,2013,6,0.0
7962,PhD,single,95169.0,1,1285,21,449,106,20,20,1,4,3,4,1,0,0,1,1,0,1,0,SP,36,1901,0,2013,12,1101.0
2681,2n Cycle,couple,65370.0,1,71,22,112,138,89,29,1,2,3,13,1,0,0,0,0,0,0,0,SP,39,461,0,2013,19,0.0
10141,Master,single,39228.0,1,7,1,6,0,3,3,1,0,0,3,4,0,0,0,0,0,0,0,SA,63,20,0,2013,4,0.0
3725,PhD,single,84865.0,1,1248,16,349,43,16,16,1,2,4,9,4,0,0,1,1,1,1,0,SP,62,1688,0,2013,16,1111.0
3767,Graduation,couple,61314.0,1,378,0,189,97,172,172,2,5,5,12,3,0,0,0,0,0,0,0,SP,55,1008,1,2013,24,0.0
5585,Graduation,single,21359.0,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,1,0,CA,51,48,1,2013,7,1.0
7030,PhD,couple,66465.0,1,1200,0,204,38,29,14,3,11,9,12,6,0,0,0,1,0,0,0,SP,68,1485,1,2013,35,100.0
1524,2n Cycle,single,81698.0,1,709,45,115,30,160,45,1,8,2,5,5,0,0,0,1,0,1,0,SP,40,1104,0,2013,16,101.0
3657,Graduation,single,39146.0,1,94,1,33,13,12,12,3,4,0,4,8,0,0,0,0,0,0,0,SP,37,165,1,2013,11,0.0
5740,2n Cycle,single,25959.0,1,4,2,12,7,5,26,2,1,2,2,6,0,0,0,0,0,1,0,SP,53,56,2,2013,7,1.0
9595,Graduation,couple,64260.0,1,539,169,816,20,0,30,1,4,5,4,3,0,0,0,0,0,1,0,SP,62,1574,0,2013,14,1.0
3158,Graduation,couple,32300.0,1,13,3,6,6,5,6,1,1,0,3,8,0,0,0,0,0,0,0,SP,50,39,1,2013,5,0.0
5114,Master,couple,74806.0,1,670,9,249,0,28,9,2,5,4,5,4,0,0,0,0,0,0,0,AUS,58,965,1,2012,16,0.0
340,Graduation,single,72967.0,1,158,35,179,0,0,125,2,7,2,8,5,1,1,0,0,0,1,0,GER,53,497,1,2012,19,110001.0
8805,Graduation,single,48904.0,1,283,10,38,0,13,27,4,7,2,4,8,0,0,0,0,0,0,0,US,63,371,1,2012,17,0.0
1241,2n Cycle,couple,14796.0,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,1,0,GER,39,51,1,2012,6,1.0
1402,Master,couple,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,GER,69,1253,0,2012,21,0.0
7264,2n Cycle,single,52195.0,2,12,0,4,0,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SA,45,17,3,2014,4,0.0
1619,Graduation,couple,90369.0,2,292,51,981,224,23,17,1,4,6,6,1,0,0,0,0,0,1,0,SP,67,1588,0,2014,17,1.0
6398,Basic,couple,18393.0,2,7,10,13,16,0,4,2,3,0,3,8,0,0,0,0,0,0,0,SP,49,50,1,2014,8,0.0
1857,Graduation,single,47139.0,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,1,0,SP,71,83,2,2014,7,1.0
4877,Master,couple,38576.0,2,34,0,7,0,0,0,1,1,0,3,7,0,0,0,0,0,0,0,IND,50,41,1,2014,5,0.0
3066,PhD,couple,61905.0,2,167,0,43,6,2,13,2,4,2,4,5,0,0,0,0,0,0,0,SA,48,231,1,2014,12,0.0
10286,Graduation,couple,83715.0,2,318,8,407,150,35,8,1,2,8,13,0,0,0,0,0,0,0,0,SA,61,926,0,2014,24,0.0
1992,Graduation,couple,60597.0,2,522,0,257,32,16,66,4,2,2,8,7,0,0,0,1,0,1,0,SP,59,893,1,2014,16,101.0
4246,Master,single,6560.0,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,0,SP,41,373,0,2013,2,0.0
10623,Master,couple,48330.0,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,SP,62,32,1,2013,5,0.0
4867,PhD,single,38236.0,2,58,0,18,2,0,10,4,3,0,4,7,0,0,0,0,0,0,0,SP,55,88,2,2013,11,0.0
3112,Master,couple,22701.0,2,2,4,9,0,4,5,1,1,0,3,5,0,0,0,0,0,0,0,SP,46,24,1,2013,5,0.0
4865,Master,single,53367.0,2,229,7,140,10,3,11,7,5,1,8,7,0,0,0,0,0,1,0,AUS,49,400,2,2013,21,1.0
6287,Graduation,couple,34728.0,2,14,0,16,0,0,6,1,1,1,2,6,0,0,0,0,0,1,0,SP,37,36,1,2013,5,1.0
4405,Master,couple,63915.0,2,622,7,115,30,0,15,2,6,3,12,5,0,0,0,0,0,0,0,AUS,67,789,2,2013,23,0.0
5332,2n Cycle,couple,82504.0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0,IND,63,1066,0,2013,17,0.0
1519,PhD,single,38578.0,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,1,0,SP,51,73,2,2013,9,1.0
9080,PhD,single,38578.0,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,0,SP,51,73,2,2013,9,0.0
1772,PhD,couple,79174.0,2,1074,37,518,193,92,129,1,5,6,7,2,0,0,1,1,0,1,0,CA,48,2043,0,2013,19,1101.0
5341,2n Cycle,single,81975.0,2,983,76,184,180,138,27,1,6,3,4,7,0,0,1,0,0,0,0,SA,61,1588,1,2013,14,1000.0
5510,Master,couple,43263.0,2,262,6,61,0,10,102,3,5,2,6,5,0,0,0,0,0,0,0,SP,46,441,1,2012,16,0.0
3887,Graduation,single,27242.0,2,3,17,26,20,1,39,2,2,0,3,9,0,0,0,0,0,1,0,IND,53,106,1,2012,7,1.0
7022,Graduation,couple,76445.0,2,739,107,309,140,80,35,1,2,5,13,6,0,0,0,0,0,0,0,SA,52,1410,1,2012,21,0.0
9999,Graduation,couple,75276.0,2,610,105,125,137,42,21,1,9,4,9,5,0,0,0,0,0,0,0,SP,58,1040,0,2012,23,0.0
10352,Graduation,single,34213.0,2,50,4,28,6,3,26,3,3,1,2,9,0,0,0,0,0,1,0,SA,60,117,2,2012,9,1.0
7919,PhD,couple,72335.0,2,1285,105,653,28,21,0,1,10,4,8,8,0,0,0,0,0,1,0,SP,47,2092,0,2012,23,1.0
4114,Master,couple,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,AUS,59,1693,0,2012,29,0.0
7990,Graduation,couple,27469.0,2,9,1,2,3,2,0,1,0,0,3,6,0,0,0,0,0,0,0,CA,76,17,0,2012,4,0.0
9888,Graduation,couple,68695.0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,SP,54,1091,0,2014,16,0.0
4399,Graduation,couple,68695.0,3,458,81,356,106,50,40,1,4,4,7,2,0,0,0,0,0,0,0,CA,54,1091,0,2014,16,0.0
4452,Graduation,single,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,0,0,0,1,0,1,0,GER,66,372,1,2014,17,101.0
4785,PhD,couple,77622.0,3,520,7,154,19,0,14,2,6,3,11,3,0,0,0,0,0,0,0,SA,53,714,2,2014,22,0.0
8461,Graduation,single,46102.0,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,61,16,3,2014,4,0.0
3878,2n Cycle,single,31859.0,3,3,4,7,15,8,11,1,1,0,3,7,0,0,0,0,0,0,0,SP,43,48,1,2014,5,0.0
9612,2n Cycle,single,23830.0,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,0,SP,36,43,0,2014,5,0.0
4098,Graduation,couple,24639.0,3,20,3,16,0,4,1,3,2,0,4,6,0,0,0,0,0,0,0,AUS,50,44,2,2014,9,0.0
158,PhD,couple,71604.0,3,345,53,528,98,75,97,1,8,3,5,4,1,1,0,0,0,1,0,SP,78,1196,0,2013,17,110001.0
3896,Graduation,couple,27255.0,3,22,1,11,0,1,2,1,1,0,3,7,0,0,0,0,0,0,0,SP,39,37,1,2013,5,0.0
9970,Graduation,couple,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,CA,46,162,1,2013,9,0.0
4002,PhD,couple,77037.0,3,463,96,333,168,53,10,1,7,7,12,3,0,0,0,0,0,0,0,SP,63,1123,1,2013,27,0.0
10914,Graduation,single,24163.0,3,4,1,7,2,1,2,2,1,0,3,4,0,0,0,0,0,0,0,SP,53,17,2,2013,6,0.0
7279,PhD,couple,69476.0,3,260,86,559,63,9,67,1,4,6,4,2,0,0,0,0,0,0,0,US,54,1044,0,2013,15,0.0
10582,Graduation,couple,72063.0,3,180,32,348,76,32,90,2,5,2,12,2,0,0,0,0,0,0,0,GER,44,758,1,2013,21,0.0
4470,Master,couple,58646.0,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,SP,61,140,1,2013,8,0.0
6183,Master,couple,58646.0,3,62,1,44,6,5,22,1,2,1,4,4,0,0,0,0,0,0,0,GER,61,140,1,2013,8,0.0
6379,Master,single,47570.0,3,67,1,20,0,2,31,3,2,2,2,7,0,0,0,0,0,1,0,US,74,121,2,2013,9,1.0
8601,Graduation,couple,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,AUS,43,1395,1,2013,21,0.0
4827,PhD,single,54998.0,3,154,22,202,39,30,8,5,4,2,9,4,0,0,0,0,0,1,0,SP,67,455,1,2013,20,1.0
6715,PhD,single,60200.0,3,502,19,132,0,6,26,6,6,2,11,6,0,0,0,0,0,0,0,SP,75,685,1,2013,25,0.0
10676,Graduation,couple,63211.0,3,145,193,459,205,26,145,2,3,8,7,2,0,0,0,0,0,1,0,SP,41,1173,0,2012,20,1.0
1041,PhD,single,48432.0,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,SA,50,424,1,2012,19,1.0
492,PhD,single,48432.0,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,0,0,CA,50,424,1,2012,19,0.0
11133,PhD,single,48432.0,3,322,3,50,4,3,42,5,7,1,6,8,0,0,0,0,0,1,0,IND,50,424,1,2012,19,1.0
4491,Master,couple,62845.0,3,1099,0,45,0,0,34,11,3,4,10,8,0,0,0,0,0,0,0,SP,74,1178,2,2012,28,0.0
873,Master,couple,62845.0,3,1099,0,45,0,0,34,11,3,4,10,8,0,0,0,0,0,1,0,SP,74,1178,2,2012,28,1.0
1631,PhD,couple,65220.0,3,890,63,292,0,25,12,4,8,4,7,6,0,0,0,0,0,1,0,GER,58,1282,0,2012,23,1.0
8278,PhD,couple,74214.0,3,863,83,547,86,99,33,1,8,2,5,5,0,0,0,0,0,0,0,SP,33,1711,0,2012,16,0.0
6815,2n Cycle,couple,96547.0,4,448,21,125,52,101,62,0,7,6,8,2,1,1,1,1,0,1,0,SP,43,809,0,2014,21,111101.0
254,Graduation,couple,53863.0,4,399,4,30,6,4,30,3,7,1,7,7,0,0,0,0,0,0,0,SP,68,473,1,2014,18,0.0
1349,Graduation,couple,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,IND,53,148,2,2014,8,0.0
2534,Graduation,couple,37716.0,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0,AUS,70,188,1,2014,10,0.0
2130,Graduation,couple,45203.0,4,35,3,67,10,8,24,1,3,1,3,6,0,0,0,0,0,1,0,SA,41,147,2,2014,8,1.0
2296,Master,couple,37368.0,4,3,2,11,2,2,10,1,1,0,2,6,1,1,0,0,0,0,0,SP,48,30,1,2013,4,110000.0
3799,Graduation,couple,67225.0,4,315,35,322,46,7,143,3,7,2,11,5,0,0,0,0,0,0,0,US,68,868,1,2013,23,0.0
11084,Master,couple,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,1,0,CA,47,1053,1,2013,17,1.0
5172,Master,couple,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,SP,47,1053,1,2013,17,0.0
9504,Master,couple,81698.0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,1,0,SP,74,1008,0,2013,25,1.0
850,Graduation,single,70566.0,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0,SP,55,757,1,2013,22,0.0
4477,Graduation,couple,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,GER,65,653,1,2013,18,0.0
1945,Graduation,couple,71434.0,4,711,36,217,172,96,168,3,7,4,7,4,0,0,0,1,0,0,0,SP,61,1400,1,2013,21,100.0
7685,Graduation,couple,33039.0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,SP,45,78,1,2013,7,0.0
6310,Graduation,couple,33039.0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,CA,45,78,1,2013,7,0.0
10832,Graduation,couple,46610.0,4,288,10,30,4,10,125,1,6,1,6,6,0,0,0,0,0,0,0,SP,65,467,0,2013,14,0.0
3025,Graduation,single,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,CA,65,306,1,2013,15,0.0
2404,Graduation,couple,53359.0,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,US,47,257,2,2013,14,0.0
8581,Master,couple,49505.0,4,604,0,100,19,0,28,9,10,2,8,8,0,0,0,0,0,0,0,SP,52,751,2,2013,29,0.0
8755,Master,couple,68657.0,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,AUS,77,1196,0,2013,18,0.0
10177,Graduation,single,72071.0,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,SP,69,1338,1,2013,20,0.0
2429,Graduation,single,72071.0,4,531,69,300,150,138,150,3,5,4,8,2,0,0,0,0,0,0,0,CA,69,1338,1,2013,20,0.0
8920,Master,single,59235.0,4,448,40,469,80,0,91,3,11,2,12,7,0,0,0,0,0,0,0,IND,56,1128,1,2013,28,0.0
8430,Graduation,couple,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,AUS,66,22,1,2012,4,0.0
8619,Graduation,couple,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,SP,66,22,1,2012,4,0.0
8996,PhD,couple,51381.5,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,GER,66,603,3,2012,29,0.0
7233,Graduation,couple,69209.0,4,496,32,849,229,48,128,2,5,3,6,4,0,0,0,1,0,0,0,CA,51,1782,0,2012,16,100.0
6678,Graduation,couple,31928.0,5,33,4,24,4,2,5,2,3,0,4,7,0,0,0,0,0,0,0,IND,34,72,1,2014,9,0.0
830,PhD,single,74004.0,5,784,48,560,42,176,48,1,4,6,4,3,0,0,1,1,0,1,0,IND,36,1658,0,2014,15,1101.0
6365,2n Cycle,couple,30390.0,5,10,12,12,25,1,20,1,2,0,3,6,0,0,0,0,0,0,0,IND,36,80,0,2013,6,0.0
6770,Graduation,couple,21355.0,5,5,13,14,0,5,31,2,2,1,2,6,1,1,0,0,0,1,0,US,38,68,1,2013,7,110001.0
2261,Graduation,couple,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,GER,54,16,1,2013,4,0.0
1031,2n Cycle,couple,85710.0,5,600,20,350,29,30,33,1,6,9,10,2,0,0,1,0,0,0,0,IND,34,1062,0,2013,26,1000.0
10089,Graduation,single,102692.0,5,168,148,444,32,172,148,1,6,9,13,2,0,0,1,1,1,1,0,SA,49,1112,0,2013,29,1111.0
9256,Graduation,single,58350.0,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0,SP,52,1001,1,2013,27,0.0
10641,Graduation,single,7500.0,5,6,5,4,13,4,25,4,2,1,3,6,0,0,0,0,0,0,0,SP,45,57,2,2012,10,0.0
624,Master,single,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,1,1,0,0,0,1,0,SA,39,35,0,2012,4,110001.0
4211,Basic,couple,20425.0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,CA,37,57,1,2012,7,0.0
1407,Basic,couple,20425.0,5,4,12,5,3,16,17,2,2,0,3,7,0,0,0,0,0,0,0,GER,37,57,1,2012,7,0.0
10356,PhD,single,41437.0,5,29,0,2,0,0,1,1,1,0,3,7,0,0,0,0,0,0,0,SP,66,32,2,2012,5,0.0
9323,Master,couple,49912.0,5,520,8,223,32,49,42,4,10,5,7,8,1,1,0,0,0,1,0,ME,74,874,1,2012,26,110001.0
1146,Master,couple,49912.0,5,520,8,223,32,49,42,4,10,5,7,8,1,1,0,0,0,1,0,AUS,74,874,1,2012,26,110001.0
6343,Graduation,couple,79823.0,6,835,73,380,114,73,43,1,6,9,7,2,0,0,0,0,0,0,0,AUS,64,1518,1,2014,23,0.0
8545,Graduation,single,85683.0,6,1296,17,311,45,69,51,1,2,4,10,1,0,0,1,1,1,1,0,SP,69,1789,0,2014,17,1111.0
8275,PhD,single,47025.0,6,16,0,3,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,SP,58,20,2,2014,4,0.0
10673,PhD,couple,68397.0,6,760,80,466,17,13,80,1,6,9,5,3,0,0,0,0,0,0,0,SA,47,1416,1,2013,21,0.0
8799,PhD,couple,38175.0,6,70,6,69,2,3,3,3,3,1,4,7,0,0,0,0,0,0,0,SP,39,153,1,2013,11,0.0
67,Master,single,46423.0,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP,51,92,2,2013,9,0.0
9923,Master,single,46423.0,6,68,0,16,0,0,8,3,2,0,4,7,0,0,0,0,0,0,0,SP,51,92,2,2013,9,0.0
2814,Master,couple,30560.0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,SA,47,31,1,2013,5,0.0
2711,Master,couple,30560.0,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,0,CA,47,31,1,2013,5,0.0
4320,Graduation,single,60152.0,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,SP,44,943,1,2013,23,0.0
10451,Graduation,couple,29672.0,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SA,58,25,2,2013,4,0.0
4198,Graduation,couple,29672.0,6,9,1,3,0,4,8,1,0,0,3,6,0,0,0,0,0,0,0,SP,58,25,2,2013,4,0.0
10814,Graduation,couple,70321.0,6,303,23,751,82,26,191,1,6,5,13,4,0,0,0,0,0,1,0,SP,76,1376,0,2013,25,1.0
944,Graduation,couple,56181.0,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,SP,61,393,1,2013,14,0.0
8151,Basic,couple,24279.0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,SP,33,263,0,2012,9,0.0
6184,PhD,couple,68462.0,6,561,64,785,84,128,48,1,3,3,8,1,0,0,0,0,0,0,0,SP,54,1670,0,2012,15,0.0
3498,PhD,couple,55424.0,6,462,61,184,10,53,107,4,7,5,9,6,1,1,0,0,0,1,0,SP,47,877,1,2012,25,110001.0
2870,Graduation,couple,49094.0,6,376,0,38,11,8,69,5,6,3,6,6,0,0,0,0,0,0,0,SP,50,502,1,2012,20,0.0
7342,2n Cycle,single,59184.0,6,341,142,113,259,151,66,3,6,6,12,5,0,0,0,0,0,0,0,SP,62,1072,1,2012,27,0.0
1911,Graduation,couple,67430.0,6,595,97,291,127,133,121,1,11,5,12,6,0,0,0,0,0,0,0,GER,36,1364,0,2012,29,0.0
10862,Master,couple,30522.0,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,SP,63,326,1,2012,17,0.0
2546,2n Cycle,single,31878.0,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,0,SP,46,70,1,2014,6,0.0
3005,Graduation,single,83528.0,7,530,117,678,134,44,147,1,4,10,8,1,1,1,0,1,0,1,0,SP,31,1650,0,2014,23,110101.0
8318,Graduation,couple,90300.0,7,594,134,786,33,134,57,0,5,6,8,1,0,0,1,0,0,0,0,SP,44,1738,0,2014,19,1000.0
2930,Master,single,68092.0,7,852,60,207,78,36,48,2,2,6,10,5,0,0,0,0,0,0,0,SA,45,1281,0,2013,20,0.0
8216,Master,couple,53761.0,7,158,0,76,13,7,71,6,4,4,3,5,0,0,0,0,0,0,0,AUS,51,325,2,2013,17,0.0
1212,Graduation,couple,52845.0,7,384,25,292,130,41,64,3,8,8,6,6,1,1,0,0,0,0,0,SP,50,936,1,2013,25,110000.0
2541,Graduation,couple,24027.0,7,14,7,11,11,0,5,2,2,0,3,8,0,0,0,0,0,0,0,SP,47,48,1,2013,7,0.0
10659,2n Cycle,couple,7500.0,7,2,8,11,3,8,21,4,3,2,2,7,0,0,0,0,0,0,0,IND,44,53,1,2013,11,0.0
10905,Graduation,couple,42586.0,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP,68,252,2,2012,16,1.0
8910,Graduation,couple,42586.0,7,194,2,56,0,0,0,5,4,1,6,8,0,0,0,0,0,1,0,SP,68,252,2,2012,16,1.0
7349,Basic,couple,9722.0,7,6,17,16,6,16,42,4,3,1,3,8,0,0,0,0,0,1,0,SP,50,103,1,2012,11,1.0
7872,PhD,couple,86836.0,7,179,21,273,0,21,63,1,6,10,6,5,1,1,1,1,0,1,0,SP,48,557,0,2012,23,111101.0
4290,Graduation,couple,30467.0,8,1,3,8,2,5,5,1,1,0,2,7,0,0,0,0,0,0,0,CA,51,24,1,2014,4,0.0
7408,PhD,couple,54549.0,8,216,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,0,0,SA,71,233,1,2014,12,0.0
9986,Graduation,couple,19444.0,8,16,0,23,3,2,10,3,4,1,2,7,0,0,0,0,0,1,0,SA,41,54,1,2014,10,1.0
8235,Master,couple,69245.0,8,428,30,214,80,30,61,2,6,5,10,3,0,0,0,0,0,0,0,SA,67,843,1,2014,23,0.0
10949,PhD,single,72968.0,8,1092,37,592,145,37,55,1,5,5,8,3,0,0,0,1,0,1,0,SP,60,1958,0,2013,19,101.0
7284,Graduation,couple,48686.0,8,10,0,7,2,0,1,1,1,0,2,8,0,0,0,0,0,0,0,SP,70,20,3,2013,4,0.0
